article,status,brand,name,rating,reviews,n_mentions,total_likes,total_views,first_mention,last_mention
124736678,matched,vois,Крем для ног и пяток увлажняющий питательный 500 мл,4.9,49860.0,1,2,1618,2024-12-26 10:00:00,2024-12-26 10:00:00
85647079,matched,geltekcosmetics,Тоник для лица матирующий с каламином и цинком для жирной ко…,4.9,1620.0,1,0,0,2022-06-06 12:38:53,2022-06-06 12:38:53
85647079,matched,geltekcosmetics,Тоник для лица матирующий с каламином и цинком для жирной ко…,4.9,1621.0,1,0,0,2022-06-06 12:38:53,2022-06-06 12:38:53
64281835,matched,art&fact,"Тоник для лица успокаивающий, 150 мл",4.8,18307.0,1,52,1041,2026-01-21 13:00:01,2026-01-21 13:00:01
64281835,matched,art&fact,"Тоник для лица успокаивающий, 150 мл",4.8,18320.0,1,52,1041,2026-01-21 13:00:01,2026-01-21 13:00:01
51924124,matched,aravia,Крем для лица и тела увлажняющий с мочевиной и церамидами,4.9,22321.0,1,179,164538,2026-03-13 11:00:00,2026-03-13 11:00:00
47583715,matched,art&fact,Маска для лица от отеков охлаждающая,4.7,8346.0,1,29,1255,2026-01-01 11:00:00,2026-01-01 11:00:00
47583715,matched,art&fact,Маска для лица от отеков охлаждающая,4.7,8347.0,1,29,1255,2026-01-01 11:00:00,2026-01-01 11:00:00
37937540,matched,art&fact,Маска для лица очищающая от прыщей,4.7,8346.0,1,38,439,2026-03-11 13:44:00,2026-03-11 13:44:00
37937540,matched,art&fact,Маска для лица очищающая от прыщей,4.7,8347.0,1,38,439,2026-03-11 13:44:00,2026-03-11 13:44:00
36010399,matched,art&fact,Пилинг пэды с гликолевой кислотой 10%,4.7,8347.0,1,34,820,2026-02-12 09:00:01,2026-02-12 09:00:01
36010399,matched,art&fact,Пилинг пэды с гликолевой кислотой 10%,4.7,8350.0,1,34,820,2026-02-12 09:00:01,2026-02-12 09:00:01
36003156,matched,art&fact,Пилинг пэды с кислотами для лица 32 шт,4.7,8347.0,1,37,998,2026-01-10 12:00:00,2026-01-10 12:00:00
36003156,matched,art&fact,Пилинг пэды с кислотами для лица 32 шт,4.7,8350.0,1,37,998,2026-01-10 12:00:00,2026-01-10 12:00:00
18921028,matched,art&fact,"Сыворотка для лица от акне и постакне, 30 мл",4.8,44536.0,1,46,1067,2026-01-17 11:30:00,2026-01-17 11:30:00
18921028,matched,art&fact,"Сыворотка для лица от акне и постакне, 30 мл",4.8,44545.0,1,46,1067,2026-01-17 11:30:00,2026-01-17 11:30:00
17666304,matched,geltekcosmetics,"Сыворотка для лица с витамином С и гиалуроновой кислотой, 30…",4.9,2203.0,1,0,0,2022-04-22 17:14:31,2022-04-22 17:14:31
17666304,matched,geltekcosmetics,"Сыворотка для лица с витамином С и гиалуроновой кислотой, 30…",4.9,2204.0,1,0,0,2022-04-22 17:14:31,2022-04-22 17:14:31
16064709,matched,aravia,"Шампунь увлажняющий для восстановления сухих волос, 420 мл",4.6,1214.0,1,119,1886,2025-12-19 14:59:25,2025-12-19 14:59:25
15040562,matched,art&fact,"Витаминная сыворотка для лица, 30 мл",4.7,17219.0,1,127,1815,2025-08-19 12:38:19,2025-08-19 12:38:19
15040562,matched,art&fact,"Витаминная сыворотка для лица, 30 мл",4.7,17236.0,1,127,1815,2025-08-19 12:38:19,2025-08-19 12:38:19
13435776,matched,art&fact,Уходовая пенка для умывания от прыщей,4.8,23762.0,1,57,2025,2025-02-19 14:22:37,2025-02-19 14:22:37
13435776,matched,art&fact,Уходовая пенка для умывания от прыщей,4.8,23775.0,1,57,2025,2025-02-19 14:22:37,2025-02-19 14:22:37
196146491,matched,geltekcosmetics,"Очищающий крем гель для умывания Ceraclean, 200мл",4.9,3327.0,1,26,1038,2024-02-01 09:00:03,2024-02-01 09:00:03
196146491,matched,geltekcosmetics,Очищающий крем - гель для умывания с церамидами,4.9,3330.0,1,26,1038,2024-02-01 09:00:03,2024-02-01 09:00:03
316054719,matched,mixit,Масло блеск для губ увлажняющий увеличивающий 01 Make up,4.9,15814.0,1,345,8428,2026-02-06 07:04:00,2026-02-06 07:04:00
311680638,matched,geltekcosmetics,"Питательный крем для рук Frost Guard, 50 мл",4.9,1070.0,1,42,3014,2025-02-14 09:00:03,2025-02-14 09:00:03
311680638,matched,geltekcosmetics,Питательный колд крем для рук защитный от обветривания,4.9,1071.0,1,42,3014,2025-02-14 09:00:03,2025-02-14 09:00:03
307397292,matched,mixit,Увлажняющее кокосовое твердое масло для губ волос и тела,4.8,7948.0,1,326,11670,2026-02-04 05:29:00,2026-02-04 05:29:00
301519288,matched,geltekcosmetics,"Крем для лица питательный с церамидами, 50 мл",4.9,5096.0,1,30,3864,2024-12-24 09:15:00,2024-12-24 09:15:00
301519288,matched,geltekcosmetics,"Крем для лица питательный с церамидами, 50 мл",4.9,5098.0,1,30,3864,2024-12-24 09:15:00,2024-12-24 09:15:00
297534323,matched,geltekcosmetics,"Крем защитный силиконовый Geltek Sport, 50 мл",4.9,169.0,1,22,4087,2025-01-20 07:41:31,2025-01-20 07:41:31
297534323,matched,geltekcosmetics,Крем защитный силиконовый для лица и рук от обветривания,4.9,170.0,1,22,4087,2025-01-20 07:41:31,2025-01-20 07:41:31
289275878,matched,geltekcosmetics,Гель концентрат разогревающий Geltek Sport 100 мл,4.9,185.0,1,23,1565,2026-04-02 10:11:54,2026-04-02 10:11:54
289275878,matched,geltekcosmetics,Гель концентрат разогревающий Geltek Sport 100 мл,4.9,185.0,1,23,1565,2026-04-02 10:11:54,2026-04-02 10:11:54
204506781,matched,vois,Бьюти бокс подарочный набор косметики,4.9,14937.0,1,12,1683,2024-12-24 09:30:00,2024-12-24 09:30:00
280089018,matched,vois,"Подарочный набор пенка для умывания, сыворотка для лица от п…",4.9,5911.0,1,4,1353,2025-04-24 08:25:51,2025-04-24 08:25:51
256351755,matched,art&fact,"Сыворотка для лица от прыщей и постакне, 50 мл",4.8,44536.0,1,49,1954,2025-02-14 12:55:09,2025-02-14 12:55:09
256351755,matched,art&fact,"Сыворотка для лица от прыщей и постакне, 50 мл",4.8,44545.0,1,49,1954,2025-02-14 12:55:09,2025-02-14 12:55:09
